"_time","avg_ResponseTime","min_ResponseTime","max_ResponseTime"
"2025-03-11T13:30:00.000-0400","3.0465714285714287","2.563","3.567"
"2025-03-11T13:45:00.000-0400","3.033888888888889","2.488","3.790"
"2025-03-11T14:00:00.000-0400","3.1271428571428572","2.585","3.858"
"2025-03-11T14:15:00.000-0400","2.979733333333334","2.582","3.718"
"2025-03-11T14:30:00.000-0400","3.121076923076923","2.409","3.439"
"2025-03-11T14:45:00.000-0400","3.209666666666667","2.554","4.231"
"2025-03-11T15:00:00.000-0400","3.3175384615384615","2.479","5.257"
"2025-03-11T15:15:00.000-0400","3.0389999999999997","2.514","3.749"
"2025-03-11T15:30:00.000-0400","3.1795454545454547","2.726","3.840"
"2025-03-11T15:45:00.000-0400","2.9705555555555554","2.509","3.641"
"2025-03-11T16:00:00.000-0400","3.3622","2.965","3.862"
"2025-03-11T16:15:00.000-0400","3.225727272727273","2.668","3.807"
"2025-03-11T16:30:00.000-0400","3.2578823529411767","2.453","4.192"
"2025-03-11T16:45:00.000-0400","3.2356315789473684","2.526","6.210"
"2025-03-11T17:00:00.000-0400","3.025416666666666","2.512","3.699"
"2025-03-11T17:15:00.000-0400","3.114272727272727","2.508","3.682"
"2025-03-11T17:30:00.000-0400","3.148117647058823","2.444","3.779"
"2025-03-11T17:45:00.000-0400","3.1101111111111113","2.511","3.823"
"2025-03-11T18:00:00.000-0400","2.9807777777777775","2.454","3.856"
"2025-03-11T18:15:00.000-0400","2.904428571428572","2.558","3.431"
"2025-03-11T18:30:00.000-0400","2.941266666666667","2.524","3.955"
"2025-03-11T18:45:00.000-0400","2.8607391304347827","2.405","3.887"
"2025-03-11T19:00:00.000-0400","2.9544444444444444","2.448","3.566"
"2025-03-11T19:15:00.000-0400","2.8608000000000002","2.421","3.339"
"2025-03-11T19:30:00.000-0400","3.0223199999999997","2.507","4.331"
"2025-03-11T19:45:00.000-0400","3.016142857142857","2.818","3.404"
"2025-03-11T20:00:00.000-0400","2.9034375","2.450","3.924"
"2025-03-11T20:15:00.000-0400","3.018615384615385","2.517","3.627"
"2025-03-11T20:30:00.000-0400","3.0644705882352943","2.536","3.762"
"2025-03-11T20:45:00.000-0400","3.0783529411764707","2.583","3.715"
"2025-03-11T21:00:00.000-0400","3.0042","2.655","3.488"
"2025-03-11T21:15:00.000-0400","3.04075","2.586","3.793"
"2025-03-11T21:30:00.000-0400","2.964642857142857","2.593","3.877"
"2025-03-11T21:45:00.000-0400","2.9309333333333334","2.502","3.585"
"2025-03-11T22:00:00.000-0400","2.9928666666666666","2.576","3.717"
"2025-03-11T22:15:00.000-0400","2.9227058823529406","2.494","3.644"
"2025-03-11T22:30:00.000-0400","3.066235294117647","2.462","4.912"
"2025-03-11T22:45:00.000-0400","3.0021578947368424","2.424","3.801"
"2025-03-11T23:00:00.000-0400","2.816692307692308","2.558","3.246"
